id,nome,preco,imagem,tipo,descricao,carrinho,detalhes
1,Cesta de Páscoa –  “Doce Renascimento”,"R$ 149,99",../static/image/Produtos/pascoa.jpeg,P,Celebre a Páscoa com uma cesta cheia de sabores e significados,0,"Detalhes da Cesta:

Ovos de chocolate artesanais (diversos tamanhos e sabores).
Coelhos de chocolate.
Biscoitos amanteigados decorados com tema de Páscoa.
Um pequeno arranjo de flores (como lírios ou margaridas).
Uma mensagem sobre renovação e esperança."
2,Cesta de Dia das Mães – “Carinho em Cada Detalhe”,"R$ 139,90",../static/image/Produtos/diadasmaes.jpeg,M,Mostre todo o amor e gratidão com uma cesta pensada especialmente para as mães.,0,"Detalhes da Cesta:

Uma vela aromática ou difusor de ambiente.
Caixa de bombons gourmet.
Um mini buquê de flores (rosas ou lírios).
Um diário ou caderno bonito.
Um chá premium ou café especial.
Uma mensagem escrita à mão com palavras de carinho."
3,Cesta de Namorados – “O amor está na cesta”,"R$ 139,90",../static/image/Produtos/namorados.jpeg,G,"Para comemorar o amor, esta cesta é cheia de delícias e pequenos gestos de carinho.",0,"Detalhes da Cesta:

Uma garrafa de vinho ou espumante.
Queijos e geleias artesanais.
Um coração de chocolate recheado.
Velas decorativas para criar um clima romântico.
Um cartão personalizado para expressar sentimentos.
Uma mini caixinha de ""memórias do casal"" (com fotos ou bilhetes)."
4,Cesta de Festa Junina – “Arraiá de Sabores”,"R$ 99,99",../static/image/Produtos/junina.jpeg,P,Traga o clima de festa junina para quem você gosta com esta cesta temática e divertida.,0,"Detalhes da Cesta:

Paçoca e pé de moleque.
Cocada cremosa.
Mini bolo de milho ou fubá.
Bandeirinhas decorativas dentro da cesta.
Saquinhos de pipoca doce e salgada.
Um chapéu de palha decorativo ou enfeites juninos."
5,Cesta de Natal – “Magia e Encanto”,"R$ 149,99",../static/image/Produtos/natal.jpeg,G,Reúna os sabores e a magia do Natal em uma cesta que celebra união e alegria.,0,"Detalhes da Cesta:

Panetone ou chocotone.
Um vinho ou espumante.
Biscoitos natalinos em formatos de estrelas e árvores.
Um pequeno enfeite de Natal (como um mini Papai Noel ou um sino).
Frutas secas e castanhas.
Uma vela temática com aroma de canela.
Uma mensagem de boas festas em um cartão especial."
6,Cesta Bom Dia Clássico:,"R$ 89,99",../static/image/Produtos/classico.jpeg,P,"A Cesta Bom Dia Clássico é a escolha ideal para quem adora os sabores tradicionais de um café da manhã simples e delicioso. Cada item foi pensado para proporcionar conforto e nostalgia, transformando qualquer manhã em um momento especial. Com pães frescos, bebidas quentes e um toque de doçura, essa cesta é perfeita para começar o dia com energia e alegria.",0,"Detalhes da Cesta:
    
    Delícias Doces:
    Mini bolos caseiros de cenoura ou chocolate.
    Geleias artesanais em potes pequenos.
    Cookies amanteigados para acompanhar o café.
    
    Sabores Salgados:
    Pães frescos (francês e de forma).
    Requeijão cremoso e manteiga fresca.
    Fatias de queijo e presunto para um sanduíche clássico.
    
    Bebidas:
    Sachês de café premium ou cápsulas de café.
    Um pequeno pote de leite ou creme de leite fresco.
    Suco de laranja natural para complementar o café da manhã.
  
    Itens Personalizados:
    Um guardanapo decorativo.
    Um pequeno arranjo de flores para dar charme."
7,Cesta Café da Manhã Fitness:,"R$ 129,99",../static/image/Produtos/fitness.jpeg,M,"A Cesta Café da Manhã Fitness é perfeita para quem adota um estilo de vida saudável e quer começar o dia com energia. Recheada de ingredientes frescos e nutritivos, essa cesta une sabor e cuidado. Cada detalhe foi pensado para oferecer uma refeição leve, equilibrada e cheia de vitalidade.",0,"Detalhes da Cesta:
    
    Delícias Doces:
    Barrinhas de cereal caseiras.
    Frutas secas (uva-passa, damasco e castanhas).
    Um pote pequeno de mel orgânico.

    Sabores Salgados:
    Pão integral ou torradinhas integrais.
    Pasta de amendoim ou homus caseiro.
    Queijo branco ou ricota.
    
    Bebidas:
    Água de coco ou suco detox em garrafinhas.
    Sachês de chá verde ou de hibisco.

    Itens Personalizados:
    Uma mensagem motivacional para começar o dia.
    Talheres e copo reutilizáveis para estimular a sustentabilidade."
8,Cesta Doce Manhã:,"R$ 139,99",../static/image/Produtos/docemanha.jpeg,G,"A Cesta Doce Manhã foi feita para quem adora começar o dia com sabores açucarados e delicados. Ideal para um presente cheio de carinho ou para celebrar uma data especial, ela traz uma combinação irresistível de guloseimas e bebidas reconfortantes.",0,"Detalhes da Cesta:
    
    Delícias Doces:
    Donuts recheados e decorados.
    Croissants de chocolate e caramelo.
    Mini bolos de laranja com cobertura açucarada.

    Sabores Salgados:
    Pães doces como brioche ou pão de leite.
    Cream cheese e geleia de frutas vermelhas.
    
    Bebidas:
    Sachês de capuccino cremoso ou chocolate quente.
    Um pequeno pote de chantilly para acompanhar.

    Itens Personalizados:
    Um cartão com tema romântico ou alegre.
    Decorações como balinhas coloridas ou fitas."
9,Cesta Café a Dois:,"R$ 99,99",../static/image/Produtos/cafeadois.jpeg,P,"A Cesta Café a Dois é pensada para momentos românticos e especiais, onde cada detalhe reforça o amor e a conexão. Ideal para comemorações como aniversários de namoro ou uma manhã a dois, ela une delícias doces e salgadas para um café da manhã memorável.",0,"Detalhes da Cesta:

    Delícias Doces:
    Trufas de chocolate ou brigadeiros gourmet.
    Frutas vermelhas frescas (morango, cereja ou amora).
    Uma pequena torta ou bolo de chocolate compartilhável.

    Sabores Salgados:
    Mini croissants recheados com queijo e presunto.
    Queijos finos como brie ou gouda.
    Um pão rústico com um toque artesanal.

    Bebidas:
    Uma garrafa de espumante ou suco de uva integral.
    Sachês de café ou chá aromático.

    Itens Personalizados:
    Um cartão com uma mensagem de amor.
    Uma pequena vela decorativa para criar um clima especial."
10,Cesta Manhã Tropical:,"R$ 109,99",../static/image/Produtos/tropical.jpeg,M,"A Cesta Manhã Tropical traz a leveza e a frescura dos sabores tropicais, perfeita para quem adora frutas e alimentos leves. Ideal para os dias quentes, essa cesta é refrescante, saudável e cheia de vida, garantindo um início de dia delicioso.",0,"Detalhes da Cesta:

    Delícias Doces:
    Frutas tropicais (abacaxi, melão e mamão).
    Geleia de manga ou maracujá.
    Bolo de coco fresco com cobertura de leite condensado.

    Sabores Salgados:
    Pães com toque de coco ou pão doce.
    Queijo coalho ou cream cheese.

    Bebidas:
    Água de coco em uma garrafinha decorativa.
    Smoothie tropical (manga e maracujá).

    Itens Personalizados:
    Um leque decorativo ou um pequeno enfeite tropical.
    Guardanapos coloridos para criar uma atmosfera alegre."
